+-----------+-------------------------------------------------------------------------+--------+----+------------+-----------+----------------------+
|   Mã môn  | Tên môn học                                                             |  Nhóm  | Tổ | Số tín chỉ |    Lớp    |        ID Môn        |
| 62CHI4AUT | Dịch Nghe -Nhìn                                                         |   01   |    |     2      |     *     | -4932406451322532658 |
| 62CHI4BUC | Tiếng Trung Quốc Thương mại                                             |   01   |    |     3      |     *     | -8470946527438491380 |
| 62CHI4CHT | Tiếng Trung Quốc Du lịch                                                |   01   |    |     3      |     *     | -6517255228880030414 |
| 62CHI4CTG | Tiếng Trung Quốc dùng trong Hướng dẫn du lịch                           |   01   |    |     2      |     *     | -4985689437794703645 |
| 62CHI4INT | Thực tập                                                                |   01   |    |     3      |     *     | -6260007199183160792 |
| 62CHI4LET | Biên dịch chuyên đề Pháp luật                                           |   01   |    |     2      |     *     | -6903679602676323462 |
| 62CHI4SYN | Cú pháp học tiếng Trung Quốc                                            |   01   |    |     3      |     *     | -5700659767953270275 |
| 62CHI4TEC | Biên dịch chuyên đề Kinh tế - Thương mại                                |   01   |    |     2      |     *     | -5031064071965252959 |
| 62ITA4INT | Thực tập                                                                |   01   |    |     3      |     *     | -7832355169905140897 |
| 62KOR21B2 | Thực hành tiếng 1B2                                                     |   01   |    |     4      |     *     | -8331977326598414877 |
| 62KOR22B2 | Thực hành tiếng 2B2                                                     |   01   |    |     4      |     *     | -6588790059387553985 |
| 62KOR23B1 | Thực hành tiếng 3B1                                                     |   01   |    |     4      |     *     | -9117335406833066982 |
| 62KOR33C1 | Thực hành tiếng 3C1                                                     |   01   |    |     4      |     *     | -4780977199924366386 |
| 62KOR3AUT | Dịch nghe nhìn                                                          |   01   |    |     2      |     *     | -5992033565557668702 |
| 62KOR3CCS | Đất nước học                                                            |   01   |    |     2      |     *     | -6834239014003415014 |
| 62KOR3ITI | Nhập môn Biên-Phiên dịch                                                |   01   |    |     2      |     *     | -7855875614440941799 |
| 62KOR3KAL | Lý thuyết tiếng                                                         |   01   |    |     2      |     *     | -8656837720043304681 |
| 62KOR4ATI | Biên - Phiên dịch nâng cao                                              |   01   |    |     2      |     *     | -5517168366587124701 |
| 62KOR4INT | Thực tập                                                                |   01   |    |     3      |     *     | -8060534217661808065 |
| 62KOR4IT2 | Phiên dịch 2                                                            |   01   |    |     3      |     *     | -6709638077346156718 |
| 62KOR4KEC | Tiếng Hàn Kinh tế                                                       |   01   |    |     2      |   1H-19C  | -8026686733854561039 |
| 62KOR4PTI | Biên - Phiên dịch chuyên đề báo chí                                     |   01   |    |     2      |     *     | -9102468983259265102 |
| 62KOR4TP2 | Biên dịch 2                                                             |   01   |    |     3      |     *     | -4702529532462307748 |
|  BUS1001  | Khái niệm phân tích dữ liệu tài chính                                   |   01   |    |     1      |  1DBA-38  | -6113599902150480270 |
|  BUS1BUE  | Nghiên cứu các vấn đề về kinh tế                                        |   01   |    |     1      |  1DBA-38  | -7063467064659324982 |
|  BUS1SBY  | Chiến lược bền vững                                                     |   01   |    |     1      |  1DBA-39  | -5974092785621172752 |
|  ECM1001  | Kinh tế học và phân tích dữ liệu tài chính                              |   01   |    |     1      |  1DBA-39  | -7869544814239271111 |
|  FIN1FOF  | Tài chính căn bản                                                       |   01   |    |     1      |  1DBA-39  | -9061039990071609118 |
|  FIN3001  | Chứng khoán phái sinh                                                   |   01   |    |     1      |  1BBUS-35 | -8134545298665439391 |
|  FIN3CSF  | Nghiên cứu tình huống tài chính                                         |   01   |    |     1      |  1BBUS-33 | -8417180820635408967 |
|  FIN3IPM  | Đầu tư và quản lý danh mục đầu tư                                       |   01   |    |     1      |  1BBUS-33 | -5804491338653515649 |
|  FSP00AC2 | Kế toán                                                                 |   01   |    |     1      |  1DBA-40  | -6839401992790343347 |
|  FSP00AS2 | Kỹ năng học thuật                                                       |   01   |    |     1      |  1DBA-40  | -7830796987088650282 |
|  FSP00EC2 | Kinh tế học                                                             |   01   |    |     1      |  1DBA-40  | -7282217655224298768 |
|  FSP00LW2 | Luật                                                                    |   01   |    |     1      |  1DBA-40  | -6873151200130333709 |
|  MGT1OBE  | Hành vi tổ chức                                                         |   01   |    |     1      |  1DBA-38  | -5060993983813017602 |
|  MGT2IMG  | Quản trị học quốc tế                                                    |   01   |    |     1      |  1BBUS-35 | -5470238145783106412 |
|  MKT1ADD  | Marketing trong thời đại công nghệ                                      |   01   |    |     1      |  1DBA-38  | -6588311762946412311 |
|  MKT1MDP  | Marketing căn bản                                                       |   01   |    |     1      |  1DBA-39  | -7058912441289431563 |
|  MKT2SEM  | Marketing xã hội                                                        |   01   |    |     1      |  1BBUS-35 | -4822808165687264923 |
|  MKT3IMK  | Marketing quốc tế                                                       |   01   |    |     1      |  1BBUS-35 | -7099930348279185509 |
|  MKT3MRE  | Nghiên cứu thị trường                                                   |   01   |    |     1      |  1BBUS-33 | -7534886145782363659 |
|  MKT3SMK  | Chiến lược Marketing                                                    |   01   |    |     1      |  1BBUS-33 | -5403434816868646337 |
| 61PED1MDR | Chạy cự ly trung bình (800m-1500m)                                      | 01.01  |    |     1      |     *     | -9038923487211876299 |
| 61PED1AB1 | Thể dục nhịp điệu 1                                                     | 01.02  |    |     1      |     *     | -7604163713161115885 |
| 61PED1BB1 | Bóng rổ 1                                                               | 01.02  |    |     1      |     *     | -7439246687975546223 |
| 61PED1FF1 | Bóng đá cơ bản 1                                                        | 01.02  |    |     1      |     *     | -8400356891078584629 |
| 61PED1LJP | Nhảy xa                                                                 | 01.02  |    |     1      |     *     | -5014479187168633239 |
| 61PED1MDR | Chạy cự ly trung bình (800m-1500m)                                      | 01.02  |    |     1      |     *     | -9038923487211876299 |
| 61PED1OMR | Chạy 100m                                                               | 01.02  |    |     1      |     *     | -6785881869442910352 |
| 61PED1PP1 | Bóng bàn 1                                                              | 01.02  |    |     1      |     *     | -7172264539467029069 |
| 61PED1VB1 | Bóng chuyền 1                                                           | 01.02  |    |     1      |     *     | -5121205882893808066 |
| 61PED1AB1 | Thể dục nhịp điệu 1                                                     | 01.03  |    |     1      |     *     | -7604163713161115885 |
| 61PED1BB1 | Bóng rổ 1                                                               | 01.03  |    |     1      |     *     | -7439246687975546223 |
| 61PED1FF1 | Bóng đá cơ bản 1                                                        | 01.03  |    |     1      |     *     | -8400356891078584629 |
| 61PED1LJP | Nhảy xa                                                                 | 01.03  |    |     1      |     *     | -5014479187168633239 |
| 61PED1MDR | Chạy cự ly trung bình (800m-1500m)                                      | 01.03  |    |     1      |     *     | -9038923487211876299 |
| 61PED1OMR | Chạy 100m                                                               | 01.03  |    |     1      |     *     | -6785881869442910352 |
| 61PED1PP1 | Bóng bàn 1                                                              | 01.03  |    |     1      |     *     | -7172264539467029069 |
| 61PED1VB1 | Bóng chuyền 1                                                           | 01.03  |    |     1      |     *     | -5121205882893808066 |
| 61ITA4IP2 | Phiên dịch 2                                                            | 01.19  |    |     3      |     *     | -6463193350316854382 |
| 61ITA4IT2 | Tiếng Italia Du lịch 2                                                  | 01.19  |    |     4      |     *     | -5910046601023562838 |
| 61ITA4TEC | Dịch chuyên ngành Kinh tế - Thương mại                                  | 01.19  |    |     2      |     *     | -6831305601637720010 |
| 61ITA4TGS | Nghiệp vụ Hướng dẫn Du lịch                                             | 01.19  |    |     2      |     *     | -4852873510264332026 |
| 61ITA4TMK | Marketing Du lịch                                                       | 01.19  |    |     3      |     *     | -8826146151979831757 |
| 61ITA4TOG | Địa lý Du lịch                                                          | 01.19  |    |     3      |     *     | -6363671655765340249 |
| 61ITA4TP2 | Biên dịch 2                                                             | 01.19  |    |     3      |     *     | -7088015106552420761 |
